timestamp,cpu_times.user,cpu_times.system,cpu_times.idle,cpu_times.interrupt,cpu_times.dpc,cpu_stats.ctx_switches,cpu_stats.interrupts,cpu_stats.soft_interrupts,cpu_stats.syscalls,cpu_load.load_1m,cpu_load.load_5m,cpu_load.load_15m,swap.total,swap.used,swap.free,swap.percent,swap.sin,swap.sout,virtual.total,virtual.available,virtual.percent,virtual.used,virtual.free,disk.total,disk.used,disk.free,disk.percent,disk_io.read_count,disk_io.write_count,disk_io.read_bytes,disk_io.write_bytes,disk_io.read_time,disk_io.write_time,net_io.bytes_sent,net_io.bytes_recv,net_io.packets_sent,net_io.packets_recv,net_io.errin,net_io.errout,net_io.dropin,net_io.dropout,analysis.possible_anomaly,analysis.prediction_result,analysis.used_model
2024-09-01 19:47:43,14964.093749999998,11285.999999999767,1181049.9375,297.046875,311.671875,704311964,414154285,0,2158380581,0.0,0.0,0.0,13421772800,1393700864,12028071936,10.4,0,0,16839766016,3867631616,77.0,12972134400,3867631616,509722226688,215836319744,293885906944,42.3,1162643,2881172,47962020352,324681695232,627,742,433743544,804659087,609362,999625,0,29,0,0,,,
2024-09-01 19:47:44,14964.906249999998,11286.109374999767,1181061.015625,297.046875,311.671875,704335272,414167683,0,2158472101,0.0,0.0,0.0,13421772800,1393700864,12028071936,10.4,0,0,16839766016,3871043584,77.0,12968722432,3871043584,509722226688,215836319744,293885906944,42.3,1162644,2881214,47962085888,324681875456,627,742,433743544,804659087,609362,999625,0,29,0,0,,,
2024-09-01 19:47:45,14965.562499999998,11286.156249999767,1181072.34375,297.046875,311.671875,704394063,414198359,0,2158680797,0.0,0.0,0.0,13421772800,1393700864,12028071936,10.4,0,0,16839766016,3867856896,77.0,12971909120,3867856896,509722226688,215836340224,293885886464,42.3,1162662,2881335,47963048448,324683005952,627,742,433747039,804660095,609372,999633,0,29,0,0,,,
2024-09-01 19:47:46,14968.843749999998,11286.656249999767,1181080.671875,297.09375,311.71875,704447234,414225860,0,2158905864,0.0,0.0,0.0,13421772800,1390161920,12031610880,10.4,0,0,16839766016,3830255616,77.3,13009510400,3830255616,509722226688,215836352512,293885874176,42.3,1162737,2881375,47966116352,324683657216,627,742,433747205,804660196,609374,999634,0,29,0,0,,,
2024-09-01 19:47:47,14970.328124999998,11286.843749999767,1181090.953125,297.09375,311.71875,704502358,414254040,0,2159104351,0.0,0.0,0.0,13421772800,1390161920,12031610880,10.4,0,0,16839766016,3815477248,77.3,13024288768,3815477248,509722226688,215836479488,293885747200,42.3,1162742,2881384,47966267904,324683784192,627,742,433747247,804660256,609375,999635,0,29,0,0,,,
2024-09-01 19:47:48,14971.718749999998,11287.499999999767,1181101.0,297.09375,311.71875,704543003,414275043,0,2159370009,0.0,0.0,0.0,13421772800,1390161920,12031610880,10.4,0,0,16839766016,3920617472,76.7,12919148544,3920617472,509722226688,215836549120,293885677568,42.3,1162746,2881452,47966431744,324695076864,627,742,433747247,804660256,609375,999635,0,29,0,0,,,
2024-09-01 19:47:49,14972.578124999998,11287.828124999767,1181111.8125,297.109375,311.71875,704576677,414292535,0,2159503500,0.0,0.0,0.0,13421772800,1390161920,12031610880,10.4,0,0,16839766016,3951169536,76.5,12888596480,3951169536,509722226688,215836561408,293885665280,42.3,1162748,2881514,47966464512,324706795520,627,742,433748821,804661819,609387,999646,0,29,0,0,,,
2024-09-01 19:47:58,14980.499999999998,11289.953125,1181212.7656249998,297.140625,311.75,704820333,414431607,0,2160138083,0.0,0.0,0.0,13421772800,1389424640,12032348160,10.4,0,0,16839766016,3991928832,76.3,12847837184,3991928832,509722226688,215831674880,293890551808,42.3,1162824,2885985,47968368640,325790556160,627,743,433770828,804704525,609446,999704,0,29,0,0,,,
2024-09-01 19:47:58,14980.531249999998,11290.015625,1181213.0468749998,297.140625,311.75,704820809,414431929,0,2160141655,0.0,0.0,0.0,13421772800,1389424640,12032348160,10.4,0,0,16839766016,3993440256,76.3,12846325760,3993440256,509722226688,215831674880,293890551808,42.3,1162824,2885985,47968368640,325790556160,627,743,433770828,804704525,609446,999704,0,29,0,0,,,
2024-09-01 19:47:59,14981.328124999998,11290.296875,1181223.9687499998,297.140625,311.75,704837205,414441703,0,2160188369,0.0,0.0,0.0,13421772800,1389424640,12032348160,10.4,0,0,16839766016,3994324992,76.3,12845441024,3994324992,509722226688,215837192192,293885034496,42.3,1162825,2885985,47968434176,325790556160,627,743,433777850,804713579,609463,999723,0,29,0,0,,,
